campaign,publisher,date,installs,d90_arpu,d90_arpu_pred
731575,581,2023-05-28,2,,1.5799149515014148
731575,581,2023-05-29,2,,1.6676279025509544
731575,581,2023-05-31,1,,1.9577564665558538
731575,581,2023-06-03,1,,2.047555857671476
731575,581,2023-06-05,1,,2.0768238242641006
731575,581,2023-06-20,1,,1.0114086963329918
731575,1185,2023-05-25,75,,2.2263365230419048
731575,1482,2023-05-26,2,,1.6066785854233911
731575,1482,2023-05-27,1,,1.5963028043280127
731575,1482,2023-05-29,2,,1.3042884579889424
731575,1482,2023-06-06,3,,1.992062977620368
731575,1482,2023-06-10,1,,1.4452987314841708
731575,1482,2023-06-14,1,,1.1092689562107394
731575,1482,2023-06-19,1,,0.5745288958755178
731575,1482,2023-06-20,2,,0.38458784922864886
731575,1482,2023-06-21,1,,0.592126159991866
731575,1482,2023-06-22,1,,0.3205169764761775
731591,1,2023-05-26,233,9.32945238542823,4.78662674744997
731591,1,2023-05-27,392,4.835311361868573,3.6837207551744866
731591,1,2023-05-28,484,4.988357288255114,3.599739080323862
731591,1,2023-05-29,488,4.159285886581003,3.6184481688903936
731591,1,2023-05-30,333,6.326805679796996,3.8320250864228833
731591,1,2023-05-31,287,3.354338276713693,3.729378693622094
731591,1,2023-06-01,267,5.1266852558544755,3.398864776219161
731591,1,2023-06-02,562,4.249045491902828,3.1136263152729704
731591,1,2023-06-03,652,3.127156331384521,3.00242910328435
731591,1,2023-06-04,923,3.299143693605069,2.865188170531831
731591,1,2023-06-05,660,2.585679245720482,2.836345420985222
731591,1,2023-06-06,1015,2.664342037841123,2.711064427288706
731591,1,2023-06-07,1410,2.720413114442783,2.3879678208532384
731591,1,2023-06-08,1034,2.5531427620772007,2.7357755138248043
731591,1,2023-06-09,774,2.137172271364801,2.791073758657241
731591,1,2023-06-10,979,2.1417151595668735,2.8148847282252216
731591,1,2023-06-11,836,2.421046397425046,2.4390580242822057
731591,1,2023-06-12,879,2.459944525466613,2.379186791199506
731591,1,2023-06-13,780,2.56556794215838,2.40445005055554
731591,1,2023-06-14,957,2.1414423084779033,2.3960310107584775
731591,1,2023-06-15,916,1.9517777547514488,2.5110265310180546
731591,1,2023-06-16,954,2.5677392535051884,2.40772370916644
731591,1,2023-06-17,938,2.214535298097156,2.1752006541003386
731591,1,2023-06-18,917,2.473330541252545,2.1127179090144597
731591,1,2023-06-19,799,2.4905148099890826,2.17968228568774
731591,1,2023-06-20,807,2.64355065372548,2.1115572380943304
731591,1,2023-06-21,834,2.3429236699413707,2.1778481517162733
731591,1,2023-06-22,1051,2.1255593005772395,1.7745763523947997
731591,1,2023-06-23,1059,2.0661318804513336,1.8332178070862957
731591,1,2023-06-24,1025,2.1567493283562547,2.1299477623811027
731591,1,2023-06-25,978,1.8259866343329745,1.2374372756176004
731591,1,2023-06-26,1018,2.0021573657051097,1.3743488026429542
731591,1,2023-06-27,1125,1.7813394162005256,1.2941644170308686
731591,1,2023-06-28,1164,1.352082206248589,1.3494447735846513
731591,1,2023-06-29,1195,1.6658025495287432,0.9807515917080716
731591,1,2023-06-30,998,1.5115632825711216,1.127397675915738
731591,1,2023-07-01,1146,1.1373737942090663,1.1494572309535298
731591,1,2023-07-02,1189,1.2394605221457036,0.6259849780277105
731591,1,2023-07-03,1092,1.2361014946883124,0.6972439526385109
731591,1,2023-07-04,992,1.0743519189389827,0.7107266126459423
731591,1,2023-07-05,958,1.2174269161065776,0.7569347945606335
731591,1,2023-07-06,834,1.1321222131853963,0.6877795147138934
731591,1,2023-07-07,850,1.0419757110281975,0.6597896455212167
731591,1,2023-07-08,1218,0.9896326532314041,0.7446766956026836
